Scope,Class
 Visual inspection of tertiary structure described as HELIDECK located at PAZ/FPSOH/HSG/STRUC/HELIDECK,FU Items
 VIE described as Desalinated water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN-_RW-TO53-02-D03,Piping
 VIE described as Drinking water piping group located at PAZ/FPSOH/HSG/UPWAT/IPN-_DW-HU85-02-_92,Piping
 Visual inspection of tertiary structure described as P8 Structural Module located at PAZ/FPSOT/HSG/STRUC/P8,Structure
 PAZ/BUOY COMPART_INTRUSIVE described as PAZ STRUTURAL COMPARTMENT located at PAZ/BUOY /HSG/STRUC/TURRET,FU Items
 SCD + VIE described as Flare cold piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FC-TO36-07-J49,Piping
 Visual inspection of tertiary structure described as R1 Structural Module located at PAZ/FPSOT/HSG/STRUC/R1,Structure
 Visual inspection of tertiary structure described as R6 Structural Module located at PAZ/FPSOT/HSG/STRUC/R6,Structure
 Visual inspection of tertiary structure described as P1 Structural Module located at PAZ/FPSOT/HSG/STRUC/P1,Structure
 UTC + VIE described as Produced water piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_PW-HU27-05-B03,Piping
 Non-Intrusive Intermediate Inspection described as HYDRAULIC POWER UNIT RESERVE TANK located at PAZ/FPSOH/CRS/AIR  /HU-TR-0712A,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC POWER UNIT RETURN TANK located at PAZ/FPSOH/CRS/AIR  /HU-TR-0712B,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as AUXILIARY HYDRAULIC UNIT A HYDR OIL TANK located at PAZ/FPSOH/CRS/AIR  /HU-TZ-0713A,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/AIR  /HU-TZ-0713B,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/AIR  /HU-TZ-0713C,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/AIR  /HU-TZ-0713D,Non Structural Tank
 VIE described as Sounding piping group located at PAZ/FPSOH/OIL/STAB /IPN-_AS-HU21-01-_03,Piping
 VIE described as Closed drain piping group located at PAZ/FPSOT/OIL/DRAIN/IPN-_CD-TO28-17-F01,Piping
 Non-Intrusive Intermediate Inspection described as ESDG LUB OIL SERVICE TANK located at PAZ/FPSOH/CRS/EPWG /HU-T_-7305,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101A2,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101B2,Non Structural Tank
 CVI of FPSO deck described as DECK FOR FPSO located at PAZ/FPSOH/HSG/STRUC/HU-DECK,FU Items
 Visual Inspec & Function Test described as P1 PROC. MEZZ UPPER DECK PEDESTAL CRANE located at PAZ/FPSOT/COF/LIFT /HU-JA-7801A,Lifting 
 Visual Inspec & Function Test described as P1 PROC. MEZZ UPPER DECK PEDESTAL CRANE located at PAZ/FPSOT/COF/LIFT /HU-JA-7801A,Lifting 
 Non-Intrusive Intermediate Inspection described as LUB OIL TREATMENT TANK located at PAZ/FPSOH/CRS/EPWG /HU-T_-73505A,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as LUB OIL TREATMENT TANK located at PAZ/FPSOH/CRS/EPWG /HU-T_-73505B,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL START SYSTEM TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101A4,Non Structural Tank
 Overhaul described as PRESSURE SAFETY VALVE 1 located at PAZ/FPSOT/GAS/COMP /TO-PSV1-31111,Pressure Safety Device
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL START SYSTEM TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101B4,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL START SYSTEM TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101C4,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL START SYSTEM TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101D4,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101D2,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0101C2,Non Structural Tank
 Visual inspection of tertiary structure described as S4 Structural Module located at PAZ/FPSOT/HSG/STRUC/S4,Structure
 BV tasks & intrusive major inspection described as VOID 1 CENTRE located at PAZ/FPSOH/HSG/STRUC/HU-T_-8633,FU Items
 TANKER CHAFFING CHAIN PS/WEAR MEASUR described as PS MOORING TANKER SIDE located at PAZ/BUOY /OIL/LOAD /PS MOORING TANKER,FU Items
 BV Class Intermediate Survey described as PORTSIDE SLOP TANK located at PAZ/FPSOH/OIL/DRAIN/HU-T_-2801A,FU Items
 Non-Intrusive Intermediate Inspection described as HYDRAULIC UNIT OIL TANK located at PAZ/FPSOH/COF/LIFT /RP-TR-7801A,Non Structural Tank
 Replace/Scrap described as LIMIT PILOT GAS PRESSURE SAFETY VALVE A located at PAZ/FPSOT/GAS/COMP /TO-PSV-314547A,Pressure Safety Device
 Visual inspection of tertiary structure described as S1 Structural Module located at PAZ/FPSOT/HSG/STRUC/S1,Structure
 Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/AIR  /HU-PSV-07103B,Pressure Safety Device
 Scrap/replace described as SINGLE DELUGE/AFFF PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/FWAT /TO-PSV-010801B,Pressure Safety Device
 TO-PSV-250530A-Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/LOAD /TO-PSV-250530A,Pressure Safety Device
 Scrap/replace described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/LOAD /TO-PSV-250531A,Pressure Safety Device
 HU-T_-2112C/FU Tank GVI described as DESALTING TANK 1S located at PAZ/FPSOH/OIL/STAB /HU-T_-2112C,FU Items
 Replace/Scrap described as TO TO-V_-2113A INLET PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-751544H,Pressure Safety Device
 UTC + VIE described as Cooling water piping group located at PAZ/FPSOT/COF/COOLW/IPN-_CW-TO76-02-B01,Piping
 Replace/Scrap described as NDE SEAL ACCUMULATOR PRESS. SAFETY VALVE located at PAZ/FPSOT/WAT/WINJ /TO-PSV-543505A,Pressure Safety Device
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-15-H03P,Piping
 Overhaul described as 1ST STAGE OUTLET PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/AIR  /HU-PSV-07101B,Pressure Safety Device
 Scrap/replace described as AIR START PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016069D,Pressure Safety Device
 Overhaul described as TRANSFERT MANIFOLD THERMAL SAFETY VALVE located at PAZ/FPSOH/OIL/STORE/TO-TSV-23001,Pressure Safety Device
 VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-06-B01,Piping
 VII described as O9 P40 FLN 1 PIG TRAP A located at PAZ/FPSOT/OIL/SEP  /TO-VP-2001A,Pressure Vessel (VII)
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-17-H03P,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-19-H03P,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-21-H03P,Piping
 Overhaul described as SEA WATER DESAL. PRESSURE SAFETY VALVE located at PAZ/FPSOH/HSG/UPWAT/HU-PSV-851102A,Pressure Safety Device
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-23-H03P,Piping
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-28-D03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-25-H03P,Piping
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WINJ /IPN-_SW-TO54-04-J03A,Piping
 major intrus.insp_OB-FA-2551 FL.ARREST described as OLT SWIVEL LEAK SYSTEM FLAME ARRESTOR located at PAZ/BUOY /OIL/LOAD /OB-FA-2551,Flame Arrestor
 Major Intrus.Insp_OB-FA-2521 FL.ARREST described as SURGE RELIEF TANK FLAME ARRESTOR located at PAZ/BUOY /OIL/LOAD /OB-FA-2521,Flame Arrestor
 Major intrus.insp_OB-FA-2522 FL.ARREST described as SURGE RELIEF TANK FLAME ARRESTOR located at PAZ/BUOY /OIL/LOAD /OB-FA-2522,Flame Arrestor
 Major Instrus.insp_LQ-FLR-0511 FL.ARREST described as EMDG FLAME ARRESTOR located at PAZ/FPSOA/CRS/EPWG /LQ-FLR-0511,Flame Arrestor
 PAZ/TO-FA-6031B1 FLAME ARRESTOR described as FLAME ARRESTOR1 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6031B1,Flame Arrestor
 PAZ/TO-FA-6031E1 FLAME ARRESTOR described as FLAME ARRESTOR1 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6031E1,Flame Arrestor
 PAZ/TO-FA-6015E1 FLAME ARRESTOR described as TO LIQUID FUEL SYSTEM FLAME ARRESTOR1 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6015E1,Flame Arrestor
 PAZ/TO-FA-6015E2 FLAME ARRESTOR described as TO LIQUID FUEL SYSTEM FLAME ARRESTOR2 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6015E2,Flame Arrestor
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-02-B03,Piping
 SCD + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-22-H49,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPN-_HL-TO21-04-B03,Piping
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN-_SW-TO53-10-B03,Piping
 CLASS PSV-Overhaul described as MEOH STOR TK PRESS VACUUM SAFETY VALVE located at PAZ/FPSOH/COF/CHEM /HU-PVSV-75014,Pressure Safety Device
 VIE described as AIR START GAS VESSEL D6 located at PAZ/FPSOH/CRS/FWAT /HU-VB-0101D6,Pressure Vessel (VIE)
 COR - WB3S - CP Measurement described as STARBOARD WING BALLAST 3S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612C,Corrosion Monitoring
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WINJ /IPN-_SW-TO54-07-D03,Piping
 Overhaul described as AIR GENERATION PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/AIR  /HU-PSV-07054,Pressure Safety Device
 Scrap/replace described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279402A,Pressure Safety Device
 Scrap/replace described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279402B,Pressure Safety Device
 Scrap/replace described as STBY COOLER WATER SIDE TSV located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602559B,Pressure Safety Device
 Overhaul described as HEATER THERMAL SAFETY VALVE located at PAZ/FPSOT/OIL/SDS  /TO-TSV-29005,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV-21015A2,Pressure Safety Device
 Scrap/Replacement described as OUTLET FILTER UNIT THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WFLT /TO-TSV-510505A,Pressure Safety Device
 VISUAL INSPECTION AFT-BALCONY TER_STR described as STRUCTURE OF AFTER BALCONIES located at PAZ/FPSOH/HSG/STRUC/AFT BALCONIES,Structure
 Overhaul described as WASH WATER SYSTEM DEMINERALISATION PSV located at PAZ/FPSOT/WAT/WDEOX/TO-PSV-534506A,Pressure Safety Device
 VII described as ESSENTIAL SW FILTER UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5111B,Pressure Vessel (VII)
 Replace/Scrap described as INJ. DOSING PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV-753546,Pressure Safety Device
 Overhaul described as DEGASSING DRUM PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV2-27023,Pressure Safety Device
 Replace/Scrap described as OIL PH CONTROLLER PUMPING UNIT PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-751544F,Pressure Safety Device
 Scrap/Replace described as TO CRUDE OIL COOLERS A-B-C-D PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-751544C,Pressure Safety Device
 Replace/Scrap described as TO TO-V_2113B INLET PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-751544G,Pressure Safety Device
 Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV-752543,Pressure Safety Device
 Scrap/replace described as TEG REGENERATION INTERFACE TSV located at PAZ/FPSOT/GAS/DEHYD/TO-TSV-30051,Pressure Safety Device
 Overhaul described as O9 P.W DEGASSING PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV1-27083,Pressure Safety Device
 Major Non-Intrusive Inspection described as CIP STORAGE TANK located at PAZ/FPSOH/OIL/OWAT /HU-TR-2721,Non Structural Tank
 Major Non-Intrusive Inspection described as LUBE OILSTORAGE TANK located at PAZ/FPSOH/OIL/OWAT /HU-TR-2721A,Non Structural Tank
 Major Non-Intrusive Inspection described as LUBE OILSTORAGE TANK located at PAZ/FPSOH/OIL/OWAT /HU-TR-2721B,Non Structural Tank
 Scrap/replace described as WATER SIDE TSV located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602575B,Pressure Safety Device
 Scrap/replace described as STBY COOLER WATER SIDE TSV located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602559C,Pressure Safety Device
 Scrap/replace described as STBY COOLER WATER SIDE TSV located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602559E,Pressure Safety Device
 Scrap/Replace described as SCALE INHIBITOR 2 PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV-751549A,Pressure Safety Device
 Scrap/Replace described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV-755544,Pressure Safety Device
 Non-Intrusive Intermediate Inspection described as SEPARATOR WASTE LIQUID TANK located at PAZ/FPSOT/ELE/PWG  /TO-TZ-6036B,Non Structural Tank
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_HG-TO27-02-B03,Piping
 Visual Inspec & Function Test described as S1 PROCESS DECK PEDESTAL CRANE located at PAZ/FPSOT/COF/LIFT /HU-JA-7801B,Lifting 
 Replace/Scrap described as WATER SIDE TSV located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602584A,Pressure Safety Device
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WATLF/IPN-_SW-TO50-09-B92,Piping
 PROD-LOOP-P40 - Int Pigging / 60M described as Production Line located at PAZ/SUB  /EXT/EWELL/PROD-LOOP-P40,Intelligent Pigging
 Replace/Scrap described as AIR START PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016072B,Pressure Safety Device
 VII described as DESICCANT VESSEL AIR INSTRUMENT CYLINDER located at PAZ/FPSOT/CRS/AIR  /TO-VA-0701A-2,Pressure Vessel (VII)
 Overhaul described as 2ND STAGE OUTLET PRESSURE SAFETY VALVE 1 located at PAZ/FPSOT/GAS/COMP /TO-PSV1-31229,Pressure Safety Device
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WATLF/IPN-_SW-TO50-10-B92,Piping
 Overhaul described as GAS & VENT GAS UNIT PRES SFTY VALVE 1 located at PAZ/FPSOT/GAS/COMP /TO-PSV1-317551,Pressure Safety Device
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WINJ /IPN-_SW-TO54-02-J03A,Piping
 Non-Intrusive Intermediate Inspection described as OIL TANK located at PAZ/FPSOH/OIL/LOAD /HU-TZ-2518,Non Structural Tank
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75104B,Pressure Safety Device
 Overhaul described as HP FLARE KO CENTRIFUGAL PUMP B PSV located at PAZ/FPSOT/GAS/FLARE/TO-PSV-36008B,Pressure Safety Device
 VIE described as Cooling water piping group located at PAZ/FPSOT/CRS/HVAC /IPC-_CW-TO09-08-B01,Piping
 Scrap/Replace described as SCALE INHIBITOR 2 PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV-751549B,Pressure Safety Device
 Overhaul described as TO HP WARM FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/FG   /TO-PSV-70033B,Pressure Safety Device
 Overhaul described as GLYC MAKE-UP FACILITIE PRES SAFETY VALVE located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-300510,Pressure Safety Device
 VIE described as Closed drain piping group located at PAZ/FPSOT/OIL/DRAIN/IPN-_CD-TO28-01-B03,Piping
 UTC + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-18-J21N,Piping
 06 MONTHLY INSPECTION CAMPAIGN described as Lifting equipment located at PAZ/FPSOH/COF/LIFT,Campaign
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-26-L23N,Piping
 VIE described as CIP/EFM FILTER FILTER UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5120A,Pressure Vessel (VIE)
 UTC + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WINJ /IPN-_SW-TO54-05-J03A,Piping
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-08-B49,Piping
 VIE described as Cooling water piping group located at PAZ/FPSOT/CRS/HVAC /IPC-_CW-TO09-05-B01,Piping
 Non-Intrusive Intermediate Inspection described as DIESEL TANK located at PAZ/FPSOH/COF/LIFT /RP-TR-7802A,Non Structural Tank
 Overhaul described as S.W PRESSURE SAFETY VALVE 2 located at PAZ/FPSOH/COF/COOLW/HU-PSV2-76107,Pressure Safety Device
 PAZ/ Flexible hoses inspection Campaign described as PAZFLOR Topsides located at PAZ/FPSOT,Campaign
 Non-Intrusive Intermediate Inspection described as BLACK START AIR COMP LUB SYSTEM TANK located at PAZ/FPSOH/CRS/AIR  /HU-TZ-0706,Non Structural Tank
 COR - WBAP - CP Measurement described as AFT PEAK TANK PORT located at PAZ/FPSOH/HSG/STRUC/HU-T_-8603,Corrosion Monitoring
 COR - WBAC - CP Measurement described as AFT PEAK TANK CENTRAL located at PAZ/FPSOH/HSG/STRUC/HU-T_-8604,Corrosion Monitoring
 COR - WBAS - CP Measurement described as AFT PEAK TANK STARBOARD located at PAZ/FPSOH/HSG/STRUC/HU-T_-8605,Corrosion Monitoring
 COR - WBFP - CP Measurement described as FORE PEAK TANK PORT located at PAZ/FPSOH/HSG/STRUC/HU-T_-8606,Corrosion Monitoring
 COR - WBFC - CP Measurement described as FORE PEAK TANK CENTRAL located at PAZ/FPSOH/HSG/STRUC/HU-T_-8607,Corrosion Monitoring
 COR - WBFS - CP Measurement described as FORE PEAK TANK STARBOARD located at PAZ/FPSOH/HSG/STRUC/HU-T_-8608,Corrosion Monitoring
 COR - WB1P - CP Measurement described as PORT WING BALLAST 1P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611A,Corrosion Monitoring
 COR - WB2P - CP Measurement described as PORT WING BALLAST 2P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611B,Corrosion Monitoring
 COR - WB3P - CP Measurement described as PORT WING BALLAST 3P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611C,Corrosion Monitoring
 COR - WB4P - CP Measurement described as PORT WING BALLAST 4P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611D,Corrosion Monitoring
 COR - WB5P - CP Measurement described as PORT WING BALLAST 5P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611E,Corrosion Monitoring
 COR - WB7P - CP Measurement described as PORT WING BALLAST 7P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611G,Corrosion Monitoring
 COR - WB1S - CP Measurement described as STARBOARD WING BALLAST 1S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612A,Corrosion Monitoring
 COR - WB2S - CP Measurement described as STARBOARD WING BALLAST 2S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612B,Corrosion Monitoring
 VIE described as Sea water piping group located at PAZ/FPSOH/WAT/WFLT /IPN-_SW-HU51-03-_92,Piping
 VIE described as Anti Foam Chemical piping group located at PAZ/FPSOT/COF/CHEM /IPN-_AF-TO75-01-_50,Piping
 VIE described as Anti Foam Chemical piping group located at PAZ/FPSOT/COF/CHEM /IPN-_AF-TO75-02-_50,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-21-H21,Piping
 Overhaul described as COOLING WATER PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV2-27015,Pressure Safety Device
 SCD + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HC-TO21-04-B49,Piping
 Replace/Scrap described as DISTRIB THERMAL SAFETY VALVE located at PAZ/FPSOT/WAT/WINJ /TO-TSV-54051A,Pressure Safety Device
 VIE described as Sounding piping group located at PAZ/FPSOH/COF/CHEM /IPN-_AS-HU75-01-_03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-20-B03,Piping
 VIE described as CRUDE OIL METERING FILTER located at PAZ/FPSOT/OIL/METER/TO-VZ-2601B,Pressure Vessel (VIE)
 VIE described as CRUDE OIL METERING FILTER located at PAZ/FPSOT/OIL/METER/TO-VZ-2601C,Pressure Vessel (VIE)
 VIE described as CRUDE OIL METERING FILTER located at PAZ/FPSOT/OIL/METER/TO-VZ-2601D,Pressure Vessel (VIE)
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-18-B03,Piping
 VIE described as High pressure flare piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FH-TO36-04-D03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/DRAIN/IPN-_HL-HU28-05-B05,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-16-B03,Piping
 BP_SB-visual inspection of tertiary stru described as BOATLANDING PLATFORM STARBOARD AFT located at PAZ/FPSOH/HSG/STRUC/BOATLANDING STBD AFT,FU Items
 BOATLANDING INSPECT. BALCONY BP STARBOAR described as BOATLANDING PLATFORM STARBOARD AFT located at PAZ/FPSOH/HSG/STRUC/BOATLANDING STBD AFT,FU Items
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-24-B03,Piping
 VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-17-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-30-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-32-B03,Piping
 VIE described as CRUDE OIL METERING FILTER located at PAZ/FPSOT/OIL/METER/TO-VZ-2601A,Pressure Vessel (VIE)
 SCD + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-15-J49,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-12-H49P,Piping
 Overhaul described as FLARE SYSTEM PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/EXP  /TO-PSV-35028,Pressure Safety Device
 Overhaul described as GLYCOL REBOILER PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-300505,Pressure Safety Device
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-26-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-28-B03,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOH/COF/INERT/IPN-_HG-HU74-01-B03,Piping
 VII described as HP FUEL GAS FILTER located at PAZ/FPSOT/COF/FG   /TO-VF-7001B,Pressure Vessel (VII)
 Overhaul described as PIG TRAP B PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20007B,Pressure Safety Device
 BP_PS-Visual inspection of complete stru described as BOATLANDING PLATFORM PORTSIDE AFT located at PAZ/FPSOH/HSG/STRUC/BOATLANDING PORT AFT,FU Items
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_HL-TO27-01-B03,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-04-J03P,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-22-B03,Piping
 UTC + VIE described as Closed drain piping group located at PAZ/FPSOT/OIL/DRAIN/IPN-_CD-TO28-02-B03,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-08-J03P,Piping
 VIE described as WASH WATER HEATER A located at PAZ/FPSOT/WAT/WDEOX/TO-ES-5321A,Pressure Vessel (VIE)
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/LOAD /IPN-_HL-TO25-02-D03,Piping
 SCD + VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN-_SW-TO53-11-H49,Piping
 Overhaul described as WASH WATER SYSTEM DEMINERALISATION PSV located at PAZ/FPSOT/WAT/WDEOX/TO-PSV-534506B,Pressure Safety Device
 SCD + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HL-TO31-01-B49,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-13-H03,Piping
 Visual inspection of tertiary structure described as R2 Structural Module located at PAZ/FPSOT/HSG/STRUC/R2,Structure
 VIE described as Sodium hypochlorite piping group located at PAZ/FPSOT/WAT/ELCL /IPN-_HY-TO52-01-B86,Piping
 VISUAL INSPECTION L2-BALCONY TER_STR described as STRUCTURE OF BALCONIES L2 located at PAZ/FPSOH/HSG/STRUC/BALCONIES L2,Structure
 VIE described as HP COMPRESSOR AFTER COOLER located at PAZ/FPSOT/GAS/COMP /TO-ES-3155,Pressure Vessel (VIE)
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPN-_HL-TO21-03-B03,Piping
 UTC + VIE described as Hot water piping group located at PAZ/FPSOH/COF/HEATL/IPN-_HW-HU72-01-_01,Piping
